Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
126;Goran Dragi?;PG;36;CHI;50;0;15.5;2.5;5.9;0.428;0.9;2.5;0.357;1.6;3.4;0.48;0.503;0.5;0.8;0.641;0.3;1.1;1.4;2.8;0.2;0.1;1.1;1.2;6.5
127;Andre Drummond;C;29;CHI;43;0;13;2.8;4.4;0.63;0;0;0;2.8;4.3;0.636;0.63;1;1.9;0.524;2.1;4.6;6.7;0.6;0.7;0.3;1.2;1.9;6.5
128;Chris Duarte;SF;25;IND;35;10;19.2;2.5;7.1;0.356;1.1;3.7;0.282;1.5;3.4;0.437;0.43;1.6;1.9;0.833;0.4;2.1;2.5;1.5;0.5;0.2;0.9;1.5;7.7
129;David Duke Jr.;SG;23;BRK;15;0;9.1;1.4;3.1;0.457;0;0.4;0;1.4;2.7;0.525;0.457;0.3;0.5;0.5;0.4;0.6;1;0.8;0.4;0.1;0.9;1.7;3.1
130;Kevin Durant;PF;34;BRK;39;39;36;10.5;18.8;0.559;1.8;4.8;0.376;8.7;14;0.622;0.607;6.8;7.3;0.934;0.4;6.4;6.7;5.3;0.8;1.5;3.5;2.4;29.7
131;Jalen Duren;C;19;DET;49;24;25.2;3.7;5.7;0.661;0;0;0;3.7;5.6;0.663;0.661;1.4;2.2;0.615;3.4;5.4;8.9;1.1;0.6;0.9;1.2;2.7;8.8
132;Tari Eason;PF;21;HOU;56;3;19.4;3.4;7.6;0.443;0.7;2;0.355;2.7;5.6;0.475;0.489;1.2;1.6;0.775;2.3;3.4;5.6;0.9;1.1;0.6;1.1;2.1;8.6
133;Anthony Edwards;SG;21;MIN;59;59;36.2;8.9;19.2;0.463;2.7;7.3;0.367;6.2;11.9;0.522;0.533;4.1;5.4;0.767;0.6;5.3;5.9;4.6;1.6;0.6;3.3;2.5;24.6
134;Kessler Edwards;SF;22;BRK;14;1;5.6;0.4;1.7;0.25;0.1;0.9;0.167;0.3;0.9;0.333;0.292;0.1;0.1;0.5;0.4;0.6;1;0.1;0.2;0.1;0.3;0.2;1.1
135;Keon Ellis;SG;23;SAC;8;0;4.4;0.8;1.1;0.667;0.6;0.9;0.714;0.1;0.3;0.5;0.944;0.3;0.4;0.667;0.4;0.5;0.9;0.4;0.3;0.1;0;0.6;2.4
136;Joel Embiid;C;28;PHI;43;43;34.9;11.1;20.7;0.539;1.1;3.2;0.358;10;17.5;0.572;0.566;10;11.7;0.855;1.8;8.3;10.2;4;1.1;1.6;3.6;3.2;33.4
137;Drew Eubanks;C;25;POR;54;11;19.3;2.5;3.6;0.696;0.1;0.1;0.429;2.4;3.5;0.706;0.704;0.9;1.4;0.685;1.5;3.2;4.7;1.1;0.5;1.1;0.8;2.2;6
138;Bruno Fernando;C;24;HOU;31;4;11.7;1.5;3;0.516;0;0;0;1.5;3;0.522;0.516;1;1.4;0.682;1.5;2.4;3.9;1;0.2;1;0.6;2.2;4.1
139;Dorian Finney-Smith;PF;29;TOT;42;42;32.3;3.2;7.8;0.412;1.9;5.4;0.347;1.4;2.5;0.553;0.53;0.7;1;0.721;1.7;3.1;4.9;1.5;0.9;0.5;0.9;2;9
